Barker Canyon Lake	id=g:5786349
Barker Rapids	id=g:5786350
Barlow Bay	id=g:5786351
Barlow Creek	id=g:5786352
Barker Mountain	id=g:5786353
Barlow Pass	id=g:5786354
Barlow Point	id=g:5786355
Barlow Point	id=g:5786356
Barlow Point Channel	id=g:5786357
Barlow Point Channel	id=g:5786358
Barlow Point Channel	id=g:5786359
Barnabie Point	id=g:5786360
Barnaby Buttes	id=g:5786361
Barnaby Creek	id=g:5786362
Barlow Island	id=g:5786363
Barnaby Slough	id=g:5786364
Barnaby Slough Number Two	id=g:5786365
Barnaby Slough Number Two Dam	id=g:5786366
Barnacle Rock	id=g:5786367
Barnard Creek	id=g:5786368
Barnaby Island	id=g:5786369
Barnell Creek	id=g:5786370
Barnard Saddle	id=g:5786371
Barnes Butte	id=g:5786372
Barnes Cabin	id=g:5786373
Barnes Creek	id=g:5786374
Barnell Meadow	id=g:5786375
Barnes Creek	id=g:5786376
Barnes Creek	id=g:5786377
Barnes Creek Nature Trail	id=g:5786378
Barnes Forest Corridor	id=g:5786379
Barnes General Hospital	id=g:5786380
Barnes Island	id=g:5786381
Barnes Lake	id=g:5786382
Barnes Point	id=g:5786383
Barnes Point Picnic Area	id=g:5786384
Barnes State Park	id=g:5786385
Mount Barnes	id=g:5786386
Barneston	id=g:5786387
Barney Coker Canyon	id=g:5786388
Barnes Elementary School	id=g:5786389
Barney Creek	id=g:5786390
Barney Lake	id=g:5786391
Barney White Ranch	id=g:5786392
Barney Zell Ridge	id=g:5786393
Mount Barney	id=g:5786394
Barnsley Lake	id=g:5786395
Barnum Point	id=g:5786396
Barometer Creek	id=g:5786397
Barney Pacific Lateral	id=g:5786398
Baron Point	id=g:5786399
Barr Creek	id=g:5786400
Barometer Mountain	id=g:5786401
Barr Creek	id=g:5786402
Barrel Spring	id=g:5786403
Barren Island	id=g:5786404
Barrett Butte	id=g:5786405
Barrett Creek	id=g:5786406
Barrel Springs	id=g:5786407
Barrett Creek	id=g:5786408
Barrett Creek	id=g:5786409
Barrier Peak	id=g:5786410
The Barrier	id=g:5786411
Barringer Dam	id=g:5786412
Barron	id=g:5786413
Barron Creek	id=g:5786414
The Barrier	id=g:5786415
Barry School	id=g:5786416
Barstow	id=g:5786417
Bartlett Beach	id=g:5786418
Bartlett Creek	id=g:5786419
Barry	id=g:5786420
Barton Creek	id=g:5786421
Bartlett Hill	id=g:5786422
Basalt Creek	id=g:5786423
Basalt Cliff	id=g:5786424
Basalt Peak	id=g:5786425
Basalt Point	id=g:5786426
Basalt Spring	id=g:5786427
Basaltic Falls	id=g:5786428
Basin City	id=g:5786429
Basin City Airfield	id=g:5786430
Basin City Elementary School	id=g:5786431
Basin Creek	id=g:5786432
Basalt Hill	id=g:5786433
Basin Creek	id=g:5786434
Basin Creek	id=g:5786435
Basin Lake	id=g:5786436
Basin Lakes	id=g:5786437
Basket Creek	id=g:5786438
Basin Lake	id=g:5786439
Bass Lake	id=g:5786440
Bass Lake	id=g:5786441
Bass Lake	id=g:5786442
Bass Point	id=g:5786443
Bass Point	id=g:5786444
Bassett Junction	id=g:5786445
Bassett Spring	id=g:5786446
Bastile Glacier	id=g:5786447
Bastile Ridge	id=g:5786448
Bat Canyon	id=g:5786449
Bass Lake	id=g:5786450
Bateman Island	id=g:5786451
Bates	id=g:5786452
