Pasco Senior High School	id=g:5806301
Pasco West	id=g:5806302
Pass Butte	id=g:5806303
Pass Creek	id=g:5806304
Pasayten Wilderness	id=g:5806305
Pass Creek	id=g:5806306
Pass Creek	id=g:5806307
Pass Creek	id=g:5806308
Pass Creek	id=g:5806309
Pass Creek	id=g:5806310
Pass Creek	id=g:5806311
Pass Creek	id=g:5806312
Pass Creek	id=g:5806313
Pass Creek	id=g:5806314
Pass Creek Pass	id=g:5806315
Pass Lake	id=g:5806316
Pass Lake	id=g:5806317
Pass No Pass	id=g:5806318
Pass Trail	id=g:5806319
Pat Creek	id=g:5806320
Pass Island	id=g:5806321
Pataha	id=g:5806322
Pataha Campground	id=g:5806323
Pataha Creek	id=g:5806324
Pat Owens Dam	id=g:5806325
Pataha Flat Cemetery	id=g:5806326
Pataha Research Natural Area	id=g:5806327
Pataha Valley	id=g:5806328
Pataha Flat	id=g:5806329
Patchen Creek	id=g:5806330
Pataha Valley Grange	id=g:5806331
Patemas Creek	id=g:5806332
Pate Spring	id=g:5806333
Patent Creek	id=g:5806334
Pateros Elementary School	id=g:5806335
Paterson	id=g:5806336
Paterson Elementary School	id=g:5806337
Paterson Elementary School	id=g:5806338
Paterson Ridge	id=g:5806339
Paterson Slough	id=g:5806340
Patit	id=g:5806341
Patit Creek	id=g:5806342
Patos Island	id=g:5806343
Patos Light	id=g:5806344
Patrick Spring	id=g:5806345
Pats Creek	id=g:5806346
Patsy Clarks House	id=g:5806347
Patte Canyon	id=g:5806348
Pateros Junior-Senior High School	id=g:5806349
Patterson Creek	id=g:5806350
Patterson (historical)	id=g:5806351
Patterson Creek	id=g:5806352
Patterson Lake	id=g:5806353
Patterson Lake Dam	id=g:5806354
Patterson Mountain	id=g:5806355
Patterson Ridge	id=g:5806357
Patterson Spring	id=g:5806358
Patterson Spring	id=g:5806359
Pattie Big Spring	id=g:5806360
Pattie Prince Dam	id=g:5806361
Pattison Lake	id=g:5806362
Patton Creek	id=g:5806363
Patterson Lake	id=g:5806364
Paul Bunyan Rifle and Sportsmens Club	id=g:5806365
Paul Bunyans Stump	id=g:5806366
Paul Creek	id=g:5806367
Patton Hill	id=g:5806368
Paul Mountain	id=g:5806369
Paul Peak	id=g:5806370
Paul Peak Trail	id=g:5806371
Paul Rumburg Elementary School	id=g:5806372
Paul Sevenich Boy Scout Camp	id=g:5806373
Paull Creek	id=g:5806374
Paul Liddell Park	id=g:5806375
Pauls Slough	id=g:5806376
Pauls Lake	id=g:5806377
Paupac Creek	id=g:5806378
Paulsons Shopping Center	id=g:5806379
