Table Rock	id=g:5812939
Table Spring	id=g:5812940
Table Top	id=g:5812941
Tablecamp Spring	id=g:5812942
Tabook Point	id=g:5812943
Tacoma	id=g:5812944
Tacoma Adventist School	id=g:5812945
Tacoma Airport	id=g:5812946
Tacoma Baptist Schools	id=g:5812947
Tacoma Cemetery	id=g:5812948
Tacoma Center at Allenmore	id=g:5812949
Tacoma Christian School	id=g:5812950
Tacoma Community College	id=g:5812951
Tacoma Country Club	id=g:5812952
Tacoma Creek	id=g:5812953
Table Lake	id=g:5812954
Tacoma Creek	id=g:5812955
Tacoma Creek	id=g:5812956
Tacoma Eastern Gulch	id=g:5812957
Tacoma Junction	id=g:5812958
Tacoma Narrows Airport	id=g:5812959
Tacoma Narrows Bridge	id=g:5812960
Tacoma Pacific	id=g:5812961
Tacoma Pass	id=g:5812962
Tacoma Peak	id=g:5812963
Tacoma Point	id=g:5812964
Tacoma Shopping Center	id=g:5812965
Tacoma Smelter	id=g:5812966
Tacoma South	id=g:5812967
Tacoma Sportsman Pond	id=g:5812968
Tacoma Sportsman Pond Dam	id=g:5812969
Tacoma Sportsmens Club	id=g:5812970
Tacoma Stadium	id=g:5812971
Tacoma Stevens	id=g:5812972
Tacoma Water Supply Intake	id=g:5812973
Tacoma Yacht Club	id=g:5812974
Tadpole Lake	id=g:5812975
Taft Creek	id=g:5812976
Tacoma Mall Shopping Center	id=g:5812977
Tag Ear Lake	id=g:5812978
Taggares Dam Number Four	id=g:5812979
Taggares Dam Number One	id=g:5812980
Taggares Dam Number Three	id=g:5812981
Taggares Dam Number Two	id=g:5812982
Taggares Field	id=g:5812983
Tahl Lake	id=g:5812984
Tahlak Creek	id=g:5812985
Tafton School	id=g:5812986
Tahlequah Creek	id=g:5812987
Tahlequah	id=g:5812988
Taholah High School	id=g:5812989
Tahoma	id=g:5812990
Tahoma Cemetery	id=g:5812991
Tahoma Cleaver	id=g:5812992
Tahoma Creek	id=g:5812993
Taholah	id=g:5812994
Tahoma Senior High School	id=g:5812995
Tahoma Middle School	id=g:5812996
Tahoma Vista	id=g:5812997
Tahoma Woods	id=g:5812998
Tahuya	id=g:5812999
Tahuya Lake	id=g:5813000
Tahuya Lookout	id=g:5813001
Tahuya River	id=g:5813002
Tahoma Glacier	id=g:5813003
Tahuya School	id=g:5813004
Tai's Landing Airport	id=g:5813005
Tail Race	id=g:5813006
Tahuya River Dam	id=g:5813007
Takhlakh Forest Camp	id=g:5813008
Takhlakh Lake	id=g:5813009
Tala Point	id=g:5813010
Talapus Creek	id=g:5813011
Talapus Lake	id=g:5813012
Talbot Dam	id=g:5813013
Talbot Hill Elementary School	id=g:5813014
Talbot Hill Park	id=g:5813015
Talby Creek	id=g:5813016
Takh Takh Meadow	id=g:5813017
Talisman Mine	id=g:5813018
Talkire Lake	id=g:5813019
Tall Timber Ranch	id=g:5813020
Tallant Creek	id=g:5813021
Talc Mountain	id=g:5813022
Talum Glaciers	id=g:5813023
Talus Glacier	id=g:5813024
Talus Lake	id=g:5813025
Tam O'Shanter Park	id=g:5813026
Tam Tam Ridge	id=g:5813027
Tam-O-Shanter Golf Course	id=g:5813028
Tamanos Mountain	id=g:5813029
Tamarack Butte	id=g:5813030
Tamarack Canyon	id=g:5813031
Tallow Flat	id=g:5813032
Tamarack Canyon	id=g:5813033
Tamarack Creek	id=g:5813034
Tamarack Creek	id=g:5813035
Tamarack Flat	id=g:5813036
Tamarack Ridge	id=g:5813037
Tamarack Spring	id=g:5813038
Tamarack Spring	id=g:5813039
Tamarack Spring	id=g:5813040
Tamarack Spring	id=g:5813041
Tamarack Spring	id=g:5813042
Tamarack Spring Campground	id=g:5813043
Tamarack spring	id=g:5813044
Tamill	id=g:5813045
Tampico	id=g:5813046
Taneum Campground	id=g:5813047
Taneum Canyon	id=g:5813048
Tamarack Peak	id=g:5813049
Taneum Creek	id=g:5813050
Taneum Ditch	id=g:5813051
Taneum Lake	id=g:5813052
Taneum Meadow	id=g:5813053
Taneum Point	id=g:5813054
Tanglefoot Island	id=g:5813056
Tanglewilde Shopping Center	id=g:5813057
Tanglewood Island	id=g:5813058
Tango Ranch Airport	id=g:5813059
Tank Lakes	id=g:5813060
Tanker Chance Spring	id=g:5813061
Tannawasha Pasture	id=g:5813062
Tanner	id=g:5813063
Tanner Lake	id=g:5813064
Tannessee Flat	id=g:5813065
Tanwax	id=g:5813066
Tanwax Creek	id=g:5813067
Taneum Guard Station	id=g:5813068
Tanwax Lake Dam	id=g:5813069
Taos Creek	id=g:5813070
Tanwax Lake	id=g:5813071
Tapp Creek	id=g:5813072
Tapto Camp	id=g:5813073
Tapto Creek	id=g:5813074
Tape Lake	id=g:5813075
Tarbell Campground	id=g:5813076
Tarboo Bay	id=g:5813077
Tarboo Creek	id=g:5813078
Tapto Lakes	id=g:5813079
Target Lake	id=g:5813080
Target Plaza	id=g:5813081
Tarheel Flat	id=g:5813082
Tarlatt Slough	id=g:5813083
Tarboo Lake	id=g:5813084
Tarpiscan Creek	id=g:5813085
Tasker	id=g:5813086
Tassel Creek	id=g:5813087
Tate Creek	id=g:5813088
Tatie Peak	id=g:5813089
Tatman Gulch	id=g:5813090
Tatman Mountain	id=g:5813091
Tatoosh Buttes	id=g:5813092
Tatoosh Creek	id=g:5813093
Tato Falls	id=g:5813094
Tatoosh Island	id=g:5813095
Tatoosh Lakes	id=g:5813096
Tatoosh Lookout	id=g:5813097
Tatoosh Range	id=g:5813098
Tatoosh Ridge	id=g:5813099
Tatoosh Ridge Lookout	id=g:5813100
Tatoosh Trail	id=g:5813101
Tatoosh Trailhead	id=g:5813102
Tatoosh Wilderness	id=g:5813103
Tatsolo Point	id=g:5813104
Tatugh	id=g:5813105
Taunton	id=g:5813106
Tausick Swimming Pool	id=g:5813107
Tavares Lake	id=g:5813108
Tavis Canyon	id=g:5813109
Tatoosh Hills	id=g:5813110
Taylor Bay	id=g:5813111
Taylor Canyon	id=g:5813112
Taylor	id=g:5813113
Taylor Creek	id=g:5813114
Taylor Creek	id=g:5813115
Taylor Flat	id=g:5813116
Taylor Mill Pond	id=g:5813117
Taylor Mill Pond Dam	id=g:5813118
Taylor Mountain	id=g:5813119
Taylor Park	id=g:5813120
Taylor Park	id=g:5813121
Taylor Point	id=g:5813122
Taylor Pond	id=g:5813123
Taylor Pond Dam	id=g:5813124
Taylor Ranch	id=g:5813125
Taylor Ridge	id=g:5813126
Taylor River	id=g:5813127
Taylor Flat	id=g:5813128
Taylor Spring	id=g:5813129
Taylor Well	id=g:5813130
Teahwhit Head	id=g:5813131
Teal Duck Slough	id=g:5813132
Taylor River Forest Camp	id=g:5813133
Teal Duck Slough Dam	id=g:5813134
Teal Lake	id=g:5813135
Teal Lake	id=g:5813136
Teal Slough	id=g:5813137
Teal Duck Slough	id=g:5813138
Teanaway	id=g:5813139
Teanaway Butte	id=g:5813140
Teanaway Butte Lookout	id=g:5813141
Teanaway Campground	id=g:5813142
Teanaway Ridge	id=g:5813143
Teanaway River	id=g:5813144
Teal Spring	id=g:5813145
Teapot Dome	id=g:5813146
Teardrop Creek	id=g:5813147
Teanaway Wilson Stock Trail	id=g:5813148
Mount Tebo	id=g:5813149
Tee Lake	id=g:5813150
Tee Shoal	id=g:5813151
Teebone Ridge	id=g:5813152
Teekalet Bluff	id=g:5813153
Teel Hill	id=g:5813154
Teeley Creek	id=g:5813155
Teaters Bluff	id=g:5813156
Teepee Falls	id=g:5813157
Teepee Spring	id=g:5813158
Tekison Creek	id=g:5813159
Teepee Campground	id=g:5813160
Tekoa	id=g:5813161
Tekoa Mountain	id=g:5813162
Telegraph Bay	id=g:5813163
Telegraph Bight	id=g:5813164
Telegraph Island	id=g:5813165
Telegraph Slough	id=g:5813166
Telephone Camp	id=g:5813167
Telephone Canyon	id=g:5813168
Tekiu Point	id=g:5813169
Telephone Utilities Heliport	id=g:5813170
Telford	id=g:5813171
Telma	id=g:5813172
Tempest Mine	id=g:5813173
Temple Lake	id=g:5813174
Temple Mountain	id=g:5813175
The Temple	id=g:5813176
Tempo Lake	id=g:5813177
Tempo Lake Dam	id=g:5813178
Temporary Sewage Lagoon	id=g:5813179
Temporary Sewage Lagoon Dam	id=g:5813180
Ten Creek	id=g:5813181
Telephone Creek	id=g:5813182
Ten O'Clock Creek	id=g:5813183
Ten Lake	id=g:5813184
Tenas Creek	id=g:5813185
Tenalquot Prairie	id=g:5813186
Tenas Creek	id=g:5813187
Tenas Creek	id=g:5813188
Tenas George Canyon	id=g:5813189
Tenas Lake	id=g:5813190
Tenas Mary Creek	id=g:5813191
Tenas Mountain	id=g:5813192
Tenday Creek	id=g:5813193
Tenderfoot Mine	id=g:5813194
Tendollar Spring	id=g:5813195
Mount Teneriffe	id=g:5813196
Tenie Creek	id=g:5813197
Tenderfoot Mine	id=g:5813198
Tenino Elementary School	id=g:5813199
Tenino High School	id=g:5813200
Tenino Junction	id=g:5813201
Tenino Middle School	id=g:5813202
Tenmile	id=g:5813203
Tenmile Camp	id=g:5813204
Tenmile Camp	id=g:5813205
Tenmile Creek	id=g:5813206
Tenino	id=g:5813207
Tenmile Creek	id=g:5813208
Tenmile Creek	id=g:5813209
Tenmile Creek	id=g:5813210
Tenmile Creek	id=g:5813211
Tenmile Creek	id=g:5813212
Tenmile Creek	id=g:5813213
Tenmile Grange	id=g:5813214
Tenmile Island Campground	id=g:5813215
Tenmile Pass	id=g:5813216
Tenmile Rapids	id=g:5813217
Tenmile Shelter	id=g:5813218
Tenmile Shelter	id=g:5813219
Tenmile Trail	id=g:5813220
Tenpeak Mountain	id=g:5813221
Tenth Field Artillery Bluff	id=g:5813222
Tenwent Lake State Wildlife Recreation Area	id=g:5813223
Tepee Campground	id=g:5813224
Tepee Creek	id=g:5813225
Tenmile Island	id=g:5813226
Tepee Creek	id=g:5813227
Tepee Creek	id=g:5813228
Tepee Springs	id=g:5813229
Lake Terence	id=g:5813230
Terminal 102 West	id=g:5813231
Terminal 105	id=g:5813232
Terminal 106	id=g:5813233
Terminal 115	id=g:5813234
Terminal 18	id=g:5813235
Terminal 25	id=g:5813236
Terminal Lake	id=g:5813237
Terminal Ninety One	id=g:5813238
Terminal Number 128	id=g:5813239
Terminal Number 20	id=g:5813240
Terminal Number 37	id=g:5813241
Terminal Number 46	id=g:5813242
Terminal Number 5	id=g:5813243
Terminal Park	id=g:5813244
Terminal Park Elementary School	id=g:5813245
Termination Point	id=g:5813246
Termination Point	id=g:5813247
Terrace	id=g:5813248
Terrace Heights	id=g:5813249
Terrace Heights Elementary School	id=g:5813250
Terrace Lakes	id=g:5813251
Terrace Mountain	id=g:5813252
Terrace Park	id=g:5813253
Terrace View Park	id=g:5813254
Terrell Creek	id=g:5813255
Tepeh Towers	id=g:5813256
Lake Terrell	id=g:5813257
Terrill Beach	id=g:5813258
Terror Creek	id=g:5813259
Terrell Lake Dam	id=g:5813260
Mount Terror	id=g:5813261
Terry Trail	id=g:5813262
Terrys Corner	id=g:5813263
Teske	id=g:5813264
Test Creek	id=g:5813265
Terror Glacier	id=g:5813266
Texas Creek	id=g:5813267
Texas Creek	id=g:5813268
Texas Draw	id=g:5813269
Texas Lake	id=g:5813270
Texas Pond Dam	id=g:5813271
Texas Rapids Launch Area	id=g:5813272
Texas Valley	id=g:5813273
Thadbar Creek	id=g:5813274
Texas Pond	id=g:5813275
Thatcher Bay	id=g:5813276
Thatcher Pass	id=g:5813277
Thavis	id=g:5813278
The Annex at Southcenter	id=g:5813279
The Badlands	id=g:5813280
The Big Bend Center	id=g:5813281
The Brothers Wilderness	id=g:5813282
Bush School	id=g:5813283
Choice Community School	id=g:5813284
The Church of Jesus Christ of Latter Day Saints	id=g:5813285
Community School	id=g:5813286
The Cottonwoods	id=g:5813287
The Dalles Campground	id=g:5813289
The Dalles Dam	id=g:5813290
The Dalles Municipal Airport	id=g:5813291
The Dalles Recreation Area	id=g:5813292
The Evergreen State College	id=g:5813293
The Flour Mill	id=g:5813294
The Freshman Campus	id=g:5813295
The Highlands	id=g:5813296
The Highlands Center	id=g:5813297
The Hub Shopping Center	id=g:5813298
The Island Hospital Heliport	id=g:5813299
The Mountain Airpark	id=g:5813300
Overlake School	id=g:5813301
The Pines	id=g:5813302
The Pines Cemetery	id=g:5813303
The Plaza	id=g:5813304
The Willows	id=g:5813305
The Woods Lake Dam	id=g:5813306
Thea Foss Waterway	id=g:5813307
Theis Creek	id=g:5813308
Thatcher	id=g:5813309
Theon Cemetery	id=g:5813310
Thera	id=g:5813311
Therkelsen Heliport	id=g:5813312
Theseus Creek	id=g:5813313
Theon	id=g:5813314
Theseus Lake	id=g:5813315
Thetis Creek	id=g:5813316
Theseus Creek Campground	id=g:5813317
Thiese Creek	id=g:5813318
Thiel	id=g:5813319
Third Beach	id=g:5813320
Third Creek	id=g:5813321
Thimble Mountain	id=g:5813322
Third Creek	id=g:5813323
Third Creek	id=g:5813324
Third Creek	id=g:5813325
Third Lagoon	id=g:5813326
Thirsty Creek	id=g:5813327
Third Lake	id=g:5813328
Thirteen Creek	id=g:5813329
Thirteenmile Campground	id=g:5813330
Thirteenmile Creek	id=g:5813331
Thirteenmile Creek	id=g:5813332
Thirteenmile Hiking Trail	id=g:5813333
Thirteenmile Road	id=g:5813334
Thirteenth Division Prairie	id=g:5813335
Thirtieth Infantry Bluff	id=g:5813336
Thirtieth Street Interchange	id=g:5813337
Thirty Acre Lake	id=g:5813338
Thirty Cent Creek	id=g:5813339
Thirteenmile Mountain	id=g:5813340
Lake Thirty Two	id=g:5813341
Lake Thirty-Two	id=g:5813342
Thirty-eight Infantry Bluff	id=g:5813343
Thirtymile Campground	id=g:5813344
Thirtymile Creek	id=g:5813345
Thirty Mile Guard Station	id=g:5813346
Thirtymile Creek	id=g:5813347
Thirtymile Meadows	id=g:5813348
Thirtymile Trail	id=g:5813349
Thirtymile Trailhead	id=g:5813350
Thirtyseventh Street Interchange	id=g:5813351
Thomas	id=g:5813352
Thomas	id=g:5813353
Thomas Academy	id=g:5813354
Thomas Creek	id=g:5813355
Thirtymile Peak	id=g:5813356
Thomas Creek	id=g:5813357
Thomas Creek	id=g:5813358
Thomas Lake	id=g:5813359
Thomas Lake	id=g:5813360
Thomas Mountain	id=g:5813361
Thomas Mountain	id=g:5813362
Thomas School	id=g:5813363
Thomas Street Interchange	id=g:5813364
Lake Thomas	id=g:5813365
Thomason Creek	id=g:5813366
Thomas Jefferson High School	id=g:5813367
Thompson Cove	id=g:5813368
Thompson Creek	id=g:5813369
Thompson (historical)	id=g:5813370
Thompson Creek	id=g:5813371
Thompson Creek	id=g:5813372
Thompson Creek	id=g:5813373
Thompson Creek	id=g:5813374
Thompson Creek	id=g:5813375
Thompson Dam	id=g:5813376
Thompson Iron Mine	id=g:5813377
Thompson Lake	id=g:5813378
Thompson Lake	id=g:5813379
Thompson Lake	id=g:5813380
Thompson Place	id=g:5813381
Thompson Point	id=g:5813382
Thompson Ridge	id=g:5813383
Thompson Ridge	id=g:5813384
Thompson Spit	id=g:5813385
Thompson Split	id=g:5813386
Point Thompson	id=g:5813387
Thomson Creek	id=g:5813388
Thompson Heliport	id=g:5813389
Thomson Creek	id=g:5813390
Thomson Junior High School	id=g:5813391
Mount Thomson	id=g:5813392
Thor Creek	id=g:5813393
Thomson Early Childhood Center	id=g:5813394
Thorn Creek	id=g:5813395
Thorn Creek	id=g:5813396
Thorn Creek	id=g:5813397
Thorn Hollow	id=g:5813398
Thorn Lookout Tower	id=g:5813399
Thorn Thicket Creek	id=g:5813400
Thorn Spring	id=g:5813401
Thorndyke Creek	id=g:5813402
Thorndyke Bay	id=g:5813403
Thorndyke Lake	id=g:5813404
Thornton	id=g:5813405
Thornton Creek	id=g:5813406
Thorndyke Elementary School	id=g:5813407
Thornton Creek	id=g:5813408
Thornton Lake	id=g:5813409
Thornwood	id=g:5813410
Thorp	id=g:5813411
Thorp Cemetery	id=g:5813412
Thorp Creek	id=g:5813413
Thornton Lakes	id=g:5813414
Thorp Creek	id=g:5813415
Thorp Elementary/High School	id=g:5813416
Thorp Mountain	id=g:5813417
Thorp Mountain Lookout	id=g:5813418
Thorp Prairie	id=g:5813419
Thorson Meadow	id=g:5813420
Thorton Creek	id=g:5813421
Thorp Lake	id=g:5813422
Thrall	id=g:5813423
Thrapp Mountain	id=g:5813424
Thrash Creek	id=g:5813425
Thousand Acre Meadow	id=g:5813426
Three A M Mountain	id=g:5813427
Three Brothers	id=g:5813428
Three Brothers Trail	id=g:5813429
Three Buttes	id=g:5813430
Three Buttes	id=g:5813431
Three C Spring	id=g:5813432
Three Corner Lake	id=g:5813433
Three Corner Rock	id=g:5813434
