Imrie Island	id=g:5982636
Imrie Lake	id=g:5982637
Imrie Lake	id=g:5982638
Imrie Lake	id=g:5982639
Ina Lake	id=g:5982640
Inalinnuaq Lake	id=g:5982641
In and Out Lake	id=g:5982642
Inar Lake	id=g:5982643
Inati Creek	id=g:5982644
Inbetween Lake	id=g:5982645
Inbetween Lake	id=g:5982646
Ince Lake	id=g:5982647
Inchawka Creek	id=g:5982648
Inchby Ridge	id=g:5982649
Inchcape Rock	id=g:5982650
Inches Creek	id=g:5982651
Inches Creek	id=g:5982652
Inches Ridge	id=g:5982653
Inches Rock	id=g:5982654
Inchkeith	id=g:5982655
Inch Lake	id=g:5982656
Inch Park	id=g:5982657
Incinerator Rock	id=g:5982658
Incised Creek	id=g:5982659
Incisor Peak	id=g:5982660
Incline Mountain	id=g:5982661
Incomappleux River	id=g:5982662
Inconnu Channel	id=g:5982663
Indata Lake	id=g:5982664
Independence Creek	id=g:5982665
Independence Creek	id=g:5982666
Independence Creek	id=g:5982667
Independence Creek	id=g:5982668
Independence Creek	id=g:5982669
Independence Lake	id=g:5982670
Index Crag	id=g:5982671
Index Creek	id=g:5982672
Index Island	id=g:5982673
Index Lake	id=g:5982674
Index Lake	id=g:5982675
Index Peninsula	id=g:5982676
Indi	id=g:5982677
India Lake	id=g:5982678
India Lake	id=g:5982679
Indian	id=g:5982680
Indiana Island	id=g:5982681
Indian Arm	id=g:5982682
Indian Arm	id=g:5982683
Indian Arm	id=g:5982684
Indian Arm Brook	id=g:5982685
Indian Arm Park	id=g:5982686
Indian Arm Pond	id=g:5982687
Indian Bay	id=g:5982688
Indian Bay	id=g:5982689
Indian Bay	id=g:5982690
Indian Bay	id=g:5982691
Indian Bay	id=g:5982692
Indian Bay	id=g:5982693
Indian Bay	id=g:5982694
Indian Bay	id=g:5982695
Indian Bay	id=g:5982696
Indian Bay	id=g:5982697
Indian Bay	id=g:5982698
Indian Bay	id=g:5982699
Indian Bay	id=g:5982700
Indian Bay	id=g:5982701
Indian Bay	id=g:5982702
Indian Bay Big Pond	id=g:5982703
Indian Bay Brook	id=g:5982704
Indian Bay (Parsons Point)	id=g:5982705
Indian Bay Pond	id=g:5982706
Indian Bay South Conservation Reserve	id=g:5982707
Indian Beach	id=g:5982708
Indian Beach	id=g:5982709
Indian Beach	id=g:5982710
Indian Beach	id=g:5982711
Indian Beach	id=g:5982712
Indian Beach	id=g:5982713
Indian Belle Rock	id=g:5982714
Indian Bight	id=g:5982715
Indian Bight	id=g:5982716
Indian Birch	id=g:5982717
Indian Birch Point	id=g:5982718
Indian Birch River	id=g:5982719
Indian Bluff	id=g:5982720
Indian Bog	id=g:5982721
Indian Brook	id=g:5982722
Indian Brook	id=g:5982723
Indian Brook	id=g:5982724
Indian Brook	id=g:5982725
Indian Brook	id=g:5982726
Indian Brook	id=g:5982727
Indian Brook	id=g:5982728
Indian Brook	id=g:5982729
Indian Brook	id=g:5982730
Indian Brook	id=g:5982731
Indian Brook	id=g:5982732
Indian Brook	id=g:5982733
Indian Brook	id=g:5982734
Indian Brook	id=g:5982735
Indian Brook 14	id=g:5982736
Indian Brook Arm	id=g:5982737
Indian Brook Falls	id=g:5982738
Indian Burying Ground Cove	id=g:5982739
Indian Burying Place	id=g:5982740
