Lac des Ventres Rouges	id=g:6013384
Lac des Vents	id=g:6013385
Lac des Vents	id=g:6013386
Lac des Vents	id=g:6013387
Lac des Vents	id=g:6013388
Lac des Vents Extrêmes	id=g:6013389
Lac des Vérâtres	id=g:6013390
Lac des Verdiers	id=g:6013391
Lac des Verdures de Givres	id=g:6013392
Lac des Vergerettes	id=g:6013393
Lac des Verges d'Or	id=g:6013394
Lac des Verges d'Or	id=g:6013395
Lac des Vergnes	id=g:6013396
Lac des Vernes	id=g:6013397
Lac des Véroniques	id=g:6013398
Lac des Vesses-de-Loup	id=g:6013399
Lac des Vicaires	id=g:6013400
Lac des Vieilles Étraves	id=g:6013401
Lac des Vieilles Filles	id=g:6013402
Lac des Vieux Camps	id=g:6013403
Lac des Vieux Cregheur	id=g:6013404
Lac des Vieux Ducks	id=g:6013405
Lac des Vingt	id=g:6013406
Lac des Violettes	id=g:6013407
Lac des Violettes	id=g:6013408
Lac des Violettes	id=g:6013409
Lac des Visons	id=g:6013410
Lac des Vivants	id=g:6013411
Lac des Voeux	id=g:6013412
Lac des Voeux	id=g:6013413
Lac Des Voeux	id=g:6013414
Lac des Voies d'Entrée	id=g:6013415
Lac des Voies de Sortie	id=g:6013416
Lac des Voisins de l'Est	id=g:6013417
Lac des Volucelles	id=g:6013418
Lac des Volutes	id=g:6013419
Lac Des Voves	id=g:6013420
Lac des Voyageurs	id=g:6013421
Lac Désy	id=g:6013422
Lac Désy	id=g:6013423
Lac Désy	id=g:6013424
Lac des Yorkshires	id=g:6013425
Lac des Yvette	id=g:6013426
Lac des Zeuzères	id=g:6013427
Lac des Zeuzères	id=g:6013428
Lac des Zouaves	id=g:6013429
Lac Détaché	id=g:6013430
Lac Détaché	id=g:6013431
Lac Détaché	id=g:6013432
Lac Determes	id=g:6013433
Lac de Tête	id=g:6013434
Lac de Tête	id=g:6013435
Lac de Tête	id=g:6013436
Lac de Tête	id=g:6013437
Lac de Tête	id=g:6013438
Lac de Tête	id=g:6013439
Lac d'Éther	id=g:6013440
Lac De Thury	id=g:6013441
Lac Détilly	id=g:6013442
Lac Detlon	id=g:6013443
Lac de Tolu	id=g:6013444
Lac de Tourbe	id=g:6013445
Lac de Tourbière	id=g:6013446
Lac Détourné	id=g:6013447
Lac de Travers	id=g:6013448
Lac de Travers	id=g:6013449
Lac de Travers	id=g:6013450
Lac de Travers	id=g:6013451
Lac de Travers	id=g:6013452
Lac de Travers	id=g:6013453
Lac de Travers	id=g:6013454
Lac de Turon	id=g:6013455
Lac d'Eu	id=g:6013456
Lac Deureux	id=g:6013457
Lac Deux-Cent-Vingt-Deux	id=g:6013458
Lac Deux dans Un	id=g:6013459
Lac Deux Dents	id=g:6013460
Lac Deux-Eaux	id=g:6013461
Lac Deux Gendres	id=g:6013462
Lac Deux Îles	id=g:6013463
Lac Deux Milles	id=g:6013464
Lac Deux Milles	id=g:6013465
Lac Deux Milles	id=g:6013466
Lac Deux Milles	id=g:6013467
Lac Devades	id=g:6013468
Lac de Valois	id=g:6013469
Lac De Vanchy	id=g:6013470
Lac Devannes	id=g:6013471
Lac de Vase	id=g:6013472
Lac de Vase	id=g:6013473
Lac de Vase	id=g:6013474
Lac de Vase	id=g:6013475
Lac de Vase	id=g:6013476
Lac de Vase	id=g:6013477
Lac de Vase	id=g:6013478
Lac de Vase	id=g:6013479
Lac de Vase	id=g:6013480
Lac De Vau	id=g:6013481
Lac De Vaulx	id=g:6013482
Lac Devay	id=g:6013483
Lac Devé	id=g:6013484
Lac Devenyns	id=g:6013485
Lac-Devenyns	id=g:6013486
Lac Devenys	id=g:6013487
Lac Deverick	id=g:6013488
Lac de Verre	id=g:6013489
Lac de Verrin	id=g:6013490
Lac Dévié	id=g:6013491
Lac Devier	id=g:6013492
Lac de Vièvre	id=g:6013493
Lac de Villaret	id=g:6013494
Lac Deville	id=g:6013495
Lac Deville	id=g:6013496
Lac de Villefayen	id=g:6013497
Lac Devillenoble	id=g:6013498
Lac Devine	id=g:6013499
Lac de Virconne	id=g:6013500
Lac Deviss	id=g:6013501
Lac De Vitré	id=g:6013502
Lac Devlin	id=g:6013503
Lac Devlin	id=g:6013504
Lac Devoble	id=g:6013505
Lac Devois	id=g:6013506
Lac Devon	id=g:6013507
Lac Devon	id=g:6013508
Lac Devost	id=g:6013509
Lac Devost	id=g:6013510
Lac Devoyau	id=g:6013511
Lac Dewey	id=g:6013512
Lac de Wickede	id=g:6013513
Lac Dextre	id=g:6013514
Lac Dey	id=g:6013515
Lac Deyeux	id=g:6013516
Lac Deyglun	id=g:6013517
Lac de Zajac	id=g:6013518
Lac de Zambie	id=g:6013519
Lac Déziel	id=g:6013520
Lac Déziel	id=g:6013521
Lac d'Herbe d'Or	id=g:6013522
Lac Dherre	id=g:6013523
Lac d'Horodlo	id=g:6013524
Lac d'Hydro	id=g:6013525
Lac Diablos	id=g:6013526
Lac Diablotin	id=g:6013527
Lac Diadème	id=g:6013528
Lac Diagonal	id=g:6013529
Lac Diamant	id=g:6013530
Lac Diamant	id=g:6013531
Lac Diamant	id=g:6013532
Lac Diamant	id=g:6013533
Lac Diamant	id=g:6013534
Lac Diamant	id=g:6013535
Lac Diamant	id=g:6013536
Lac Diamant	id=g:6013537
Lac Diamant	id=g:6013538
Lac Diamant	id=g:6013539
Lac Diamond	id=g:6013540
Lac Diamond	id=g:6013541
Lac Diamondite	id=g:6013542
Lac Diana	id=g:6013543
Lac Diana	id=g:6013544
Lac Diane	id=g:6013545
Lac Diane	id=g:6013546
Lac Diane	id=g:6013547
Lac Diane	id=g:6013548
Lac Diane	id=g:6013549
Lac Diane	id=g:6013550
Lac Diane	id=g:6013551
Lac Diane	id=g:6013552
Lac Diane	id=g:6013553
Lac Diane	id=g:6013554
Lac Diane	id=g:6013555
Lac Diane	id=g:6013556
Lac Diane	id=g:6013557
Lac Diane	id=g:6013558
Lac Diane	id=g:6013559
Lac Diane	id=g:6013560
Lac Diane	id=g:6013561
Lac Diane	id=g:6013562
Lac Diane	id=g:6013563
Lac Diane	id=g:6013564
Lac-Diane	id=g:6013565
Lac Diarbois	id=g:6013566
Lac Diatomées	id=g:6013567
Lac Diaule	id=g:6013568
Lac Diaz	id=g:6013569
Lac D'Iberville	id=g:6013570
Lac Dicaire	id=g:6013571
Lac Dicaire	id=g:6013572
Lac Dick	id=g:6013573
Lac Dick	id=g:6013574
Lac Dick	id=g:6013575
Lac Dick	id=g:6013576
Lac Dick	id=g:6013577
Lac Dick	id=g:6013578
Lac Dick	id=g:6013579
Lac Dickey	id=g:6013580
Lac Dickie	id=g:6013581
Lac Dickingham	id=g:6013582
Lac Dickson	id=g:6013583
Lac Dickson	id=g:6013584
Lac Dickson	id=g:6013585
Lac Dickson	id=g:6013586
Lac Dickybird	id=g:6013587
Lac Dicristo	id=g:6013588
Lac Dictame	id=g:6013589
Lac Didace	id=g:6013590
Lac Didi	id=g:6013591
Lac Didier	id=g:6013592
Lac Didier	id=g:6013593
Lac Dido	id=g:6013594
Lac Di-Dou	id=g:6013595
Lac Didyme	id=g:6013596
Lac Dièdre	id=g:6013597
Lac Diegem	id=g:6013598
Lac Diel	id=g:6013599
Lac Diel	id=g:6013600
Lac Dième	id=g:6013601
Lac Dième	id=g:6013602
Lac Dienne	id=g:6013603
Lac Dieppe	id=g:6013604
Lac Dieppe	id=g:6013605
Lac Diéreville	id=g:6013606
Lac Dierre	id=g:6013607
Lac Dieter	id=g:6013608
Lac Dietrich	id=g:6013609
Lac Dieudonné	id=g:6013610
Lac Dieuze	id=g:6013611
Lac Diéval	id=g:6013612
Lac Diez	id=g:6013613
Lac Diez-d'Aux	id=g:6013614
Lac-Diez-d'Aux	id=g:6013615
Lac Diffa	id=g:6013616
Lac Difficile	id=g:6013617
Lac Difficile	id=g:6013618
Lac Difforme	id=g:6013619
Lac Difforme	id=g:6013620
Lac Digit	id=g:6013621
Lac Digital	id=g:6013622
Lac Digna	id=g:6013623
Lac Dignard	id=g:6013624
Lac Digne	id=g:6013625
Lac Digo	id=g:6013626
Lac Digon	id=g:6013627
Lac Diguidou	id=g:6013628
Lac Digway	id=g:6013629
Lac Dihourse	id=g:6013630
Lac Dijon	id=g:6013631
Lac Diko	id=g:6013632
Lac Dillan	id=g:6013633
Lac Dillon	id=g:6013634
Lac Dillot	id=g:6013635
Lac Dilo	id=g:6013636
Lac Dilsen	id=g:6013637
Lac Dimanche	id=g:6013638
Lac Dimel	id=g:6013639
Lac Dimère	id=g:6013640
Lac Dimo	id=g:6013641
Lac Dimorphe	id=g:6013642
Lac Dimph	id=g:6013643
Lac Dinan	id=g:6013644
Lac Dinant	id=g:6013645
Lac Dindon	id=g:6013646
Lac Dinel	id=g:6013647
Lac Dinel	id=g:6013648
Lac Dingley	id=g:6013649
Lac Dingue	id=g:6013650
Lac Dino	id=g:6013651
Lac Dino	id=g:6013652
Lac Dino	id=g:6013653
Lac Dinosaure	id=g:6013654
Lac Dinosaure	id=g:6013655
Lac Dinosaure	id=g:6013656
Lac Diode	id=g:6013657
Lac Dion	id=g:6013658
Lac Dion	id=g:6013659
Lac Dion	id=g:6013660
Lac Dion	id=g:6013661
Lac Dion	id=g:6013662
Lac Dion	id=g:6013663
Lac Dion	id=g:6013664
Lac Dion	id=g:6013665
Lac Dionay	id=g:6013666
Lac Dionée	id=g:6013667
Lac Dionne	id=g:6013668
Lac Dionne	id=g:6013669
Lac Dionne	id=g:6013670
Lac Dionne	id=g:6013671
Lac Dionne	id=g:6013672
Lac Dionne	id=g:6013673
Lac Dionne	id=g:6013674
Lac Dionysos	id=g:6013675
Lac Diotel	id=g:6013676
Lac Diou	id=g:6013677
Lac Diouze	id=g:6013678
Lac Dipnoi	id=g:6013679
Lac Dipper	id=g:6013680
Lac Diprion	id=g:6013681
Lac Diptère	id=g:6013682
Lac Diquier	id=g:6013683
Lac Dirac	id=g:6013684
Lac Dirca	id=g:6013685
Lac Dirinon	id=g:6013686
Lac Dirk	id=g:6013687
Lac Dirol	id=g:6013688
Lac Discal	id=g:6013689
Lac Discharge	id=g:6013690
Lac Discharge	id=g:6013691
Lac Discovery	id=g:6013692
Lac Discret	id=g:6013693
Lac Discret	id=g:6013694
Lac Discret	id=g:6013695
Lac Discret	id=g:6013696
Lac Discret	id=g:6013697
Lac Discret	id=g:6013698
Lac Discret	id=g:6013699
Lac d'Isle-de-France	id=g:6013700
Lac Dispan	id=g:6013701
Lac Dispersé	id=g:6013702
Lac Dispos	id=g:6013703
Lac Disque	id=g:6013704
Lac Dissimieux	id=g:6013705
Lac Disson	id=g:6013706
Lac d'Issy	id=g:6013707
Lac Distré	id=g:6013708
Lac Ditto	id=g:6013709
Lac Diurne	id=g:6013710
Lac Diurne	id=g:6013711
Lac Divagant	id=g:6013712
Lac Divelet	id=g:6013713
Lac Divertissant	id=g:6013714
Lac Divide	id=g:6013715
Lac Divisé	id=g:6013716
Lac Divisé	id=g:6013717
Lac Dixie	id=g:6013718
Lac Dix Milles	id=g:6013719
Lac Dix Minutes	id=g:6013720
Lac Dix Minutes	id=g:6013721
Lac Dixon	id=g:6013722
Lac Dixon	id=g:6013723
Lac Dix Piastres	id=g:6013724
Lac Dizis	id=g:6013725
Lac Djebel	id=g:6013726
Lac Djorf	id=g:6013727
Lac Do	id=g:6013728
Lac Do	id=g:6013729
Lac Doal	id=g:6013730
Lac Dobbin	id=g:6013731
Lac Dobbin	id=g:6013732
Lac Dobe	id=g:6013733
Lac Dobe	id=g:6013734
Lac Dobleau	id=g:6013735
Lac Doc	id=g:6013736
Lac Doc	id=g:6013737
Lac Docile	id=g:6013738
Lac Docteur	id=g:6013739
Lac Docteur	id=g:6013740
Lac Docteur	id=g:6013741
Lac Docteur	id=g:6013742
Lac Docteur	id=g:6013743
Lac Doda	id=g:6013744
Lac Dodd	id=g:6013745
Lac Dodd	id=g:6013746
Lac Doddridge	id=g:6013747
Lac Dodds	id=g:6013748
Lac Doderlein	id=g:6013749
Lac Dodge	id=g:6013750
Lac Dodienne	id=g:6013751
Lac Dodier	id=g:6013752
Lac Dodo	id=g:6013753
Lac Dodon	id=g:6013754
Lac Dods	id=g:6013755
Lac Dodu	id=g:6013756
Lac Doe	id=g:6013757
Lac Doe	id=g:6013758
Lac Doe	id=g:6013759
Lac Doell	id=g:6013760
Lac Doge	id=g:6013761
Lac Dog Home	id=g:6013762
Lac Dognen	id=g:6013763
Lac Dogre	id=g:6013764
Lac Dohan	id=g:6013765
Lac Doherty	id=g:6013766
Lac Doig	id=g:6013767
Lac Doigt	id=g:6013768
Lac Doigt	id=g:6013769
Lac Doigt d'Or	id=g:6013770
Lac Doigté	id=g:6013771
Lac Doiron	id=g:6013772
Lac Doison	id=g:6013773
Lac d'Oka	id=g:6013774
Lac Dol	id=g:6013775
Lac Dolan	id=g:6013776
Lac Dolard	id=g:6013777
Lac Dolbel	id=g:6013778
Lac Dole	id=g:6013779
Lac Dole	id=g:6013780
Lac Dole	id=g:6013781
Lac Dôle	id=g:6013782
Lac Doleau	id=g:6013783
Lac Dolent	id=g:6013784
Lac Dolic	id=g:6013785
Lac Doline	id=g:6013786
Lac Dollard	id=g:6013787
Lac Dollard	id=g:6013788
Lac Dollard	id=g:6013789
Lac Dollard-des-Ormeaux	id=g:6013790
Lac Dollard-des-Ormeaux	id=g:6013791
Lac Dollier	id=g:6013792
Lac Dollier	id=g:6013793
Lac Dollo	id=g:6013794
Lac Dolly	id=g:6013795
Lac Dolly	id=g:6013796
Lac Dolman	id=g:6013797
Lac Dolmen	id=g:6013798
Lac Doloire	id=g:6013799
Lac Dolomieu	id=g:6013800
Lac Dolorès	id=g:6013801
Lac Dolorès	id=g:6013802
Lac Dolu	id=g:6013803
Lac Dom	id=g:6013804
Lac Domairon	id=g:6013805
Lac Domange	id=g:6013806
Lac Domarain	id=g:6013807
Lac Domay	id=g:6013808
Lac Dombrowski	id=g:6013809
Lac Domène	id=g:6013810
Lac Domergue	id=g:6013811
Lac Domergue	id=g:6013812
Lac Dom-Gaboury	id=g:6013813
Lac Domgermain	id=g:6013814
Lac Domi	id=g:6013815
Lac Dominé	id=g:6013816
Lac Dominion	id=g:6013817
Lac Dominique	id=g:6013818
Lac Dominique	id=g:6013819
Lac Dominique	id=g:6013820
Lac Dominique	id=g:6013821
Lac Dominique	id=g:6013822
Lac Dominique	id=g:6013823
Lac Dominique	id=g:6013824
Lac Domino	id=g:6013825
Lac Domino	id=g:6013826
Lac Dompierre	id=g:6013827
Lac Dompierre	id=g:6013828
Lac Domprel	id=g:6013829
Lac Doms	id=g:6013830
Lac Don	id=g:6013831
Lac Don	id=g:6013832
Lac Don	id=g:6013833
Lac Donadieu	id=g:6013834
Lac Donald	id=g:6013835
Lac Donald	id=g:6013836
Lac Donald	id=g:6013837
Lac Donald	id=g:6013838
Lac Donald	id=g:6013839
Lac Donald	id=g:6013840
Lac Donald	id=g:6013841
Lac Donald	id=g:6013842
Lac Donald	id=g:6013843
Lac Donald	id=g:6013844
Lac Donalda	id=g:6013845
Lac Donaldson	id=g:6013846
Lac Donaldson	id=g:6013847
Lac Donaldson	id=g:6013848
Lac Donaldson	id=g:6013849
Lac Donas	id=g:6013850
Lac Donat	id=g:6013851
Lac Donat	id=g:6013852
Lac Donat	id=g:6013853
Lac Donat	id=g:6013854
Lac Donat	id=g:6013855
Lac Donat	id=g:6013856
Lac Donat	id=g:6013857
Lac Donat	id=g:6013858
Lac Donat	id=g:6013859
Lac Donat	id=g:6013860
Lac Donat	id=g:6013861
Lac Donat	id=g:6013862
Lac Donez	id=g:6013863
Lac Donlon	id=g:6013864
Lac Donne	id=g:6013865
Lac Donnely	id=g:6013866
Lac Donnely	id=g:6013867
Lac Donnery	id=g:6013868
Lac Donnery	id=g:6013869
Lac Donney	id=g:6013870
Lac Donovan	id=g:6013871
Lac Donovan	id=g:6013872
Lac Donovan	id=g:6013873
Lac Donquan	id=g:6013874
Lac Dons	id=g:6013875
Lac Donsil	id=g:6013876
Lac Dontenwill	id=g:6013877
Lac Dontigny	id=g:6013878
Lac Dontigny	id=g:6013879
Lac Dontigny	id=g:6013880
Lac Dontrien	id=g:6013881
Lac Donzy	id=g:6013882
Lac Doolittle	id=g:6013883
Lac Dopey	id=g:6013884
Lac Doppet	id=g:6013885
Lac d'Or	id=g:6013886
Lac d'Or	id=g:6013887
Lac Dora	id=g:6013888
Lac Dora	id=g:6013889
Lac Doran	id=g:6013890
Lac Dorat	id=g:6013891
Lac Dorbin	id=g:6013892
Lac Dorcy	id=g:6013893
Lac Doré	id=g:6013894
Lac Doré	id=g:6013895
Lac Doré	id=g:6013896
Lac Doré	id=g:6013897
Lac Doré	id=g:6013898
Lac Doré	id=g:6013899
Lac Doré	id=g:6013900
Lac Doré	id=g:6013901
Lac Doré	id=g:6013902
Lac Doré	id=g:6013903
Lac Doré	id=g:6013904
Lac Doré	id=g:6013905
Lac Doré	id=g:6013906
Lac Doré	id=g:6013907
Lac Doré	id=g:6013908
Lac Doré	id=g:6013909
Lac Doré	id=g:6013910
Lac Doré	id=g:6013911
Lac Doré	id=g:6013912
Lac Doré	id=g:6013913
Lac Doré	id=g:6013914
Lac Doré	id=g:6013915
Lac Doré	id=g:6013916
Lac Doré	id=g:6013917
Lac Doré	id=g:6013918
Lac Doré	id=g:6013919
Lac Doré	id=g:6013920
Lac-Doré	id=g:6013921
Lac-Doré	id=g:6013922
Lac Doreen	id=g:6013923
Lac Doreen	id=g:6013924
Lac Doreen	id=g:6013925
Lac Dorema	id=g:6013926
Lac Dorfontaine	id=g:6013927
Lac Doria	id=g:6013928
Lac Doride	id=g:6013929
Lac Dorier	id=g:6013930
Lac Dorila	id=g:6013931
Lac Dorillard	id=g:6013932
Lac Dorion	id=g:6013933
Lac Dorion	id=g:6013934
Lac Dorion	id=g:6013935
Lac Doris	id=g:6013936
Lac Doris	id=g:6013937
Lac Doris	id=g:6013938
Lac Doris	id=g:6013939
Lac Doris	id=g:6013940
Lac Doris	id=g:6013941
Lac Doris	id=g:6013942
Lac Doris	id=g:6013943
Lac Doris	id=g:6013944
Lac Doris	id=g:6013945
Lac Doris	id=g:6013946
Lac Doris	id=g:6013947
Lac d'Or Jauni	id=g:6013948
Lac Dornais	id=g:6013949
Lac Dornon	id=g:6013950
Lac Dorothée	id=g:6013951
Lac Dorothée	id=g:6013952
Lac Dorothy	id=g:6013953
Lac Dorothy	id=g:6013954
Lac Dorothy	id=g:6013955
Lac Dorothy	id=g:6013956
Lac Dorsal	id=g:6013957
Lac Dorsey	id=g:6013958
Lac Dorsez	id=g:6013959
Lac Dortet	id=g:6013960
Lac Dortet	id=g:6013961
Lac Dorus	id=g:6013962
Lac Dorval	id=g:6013963
Lac Dorval	id=g:6013964
Lac Dorval	id=g:6013965
Lac Dorval	id=g:6013966
Lac Dorval	id=g:6013967
Lac Dorval	id=g:6013968
Lac d'Osaka	id=g:6013969
Lac Dosch	id=g:6013970
Lac Dosnain	id=g:6013971
Lac Dosne	id=g:6013972
Lac Dosnon	id=g:6013973
Lac Dosquet Nord	id=g:6013974
Lac Dosquet Sud	id=g:6013975
Lac Dossard	id=g:6013976
Lac Dosta	id=g:6013977
Lac d'Ostis	id=g:6013978
Lac Doston	id=g:6013979
Lac Dot	id=g:6013980
Lac Dot	id=g:6013981
Lac Douai	id=g:6013982
Lac Douaire	id=g:6013983
Lac-Douaire	id=g:6013984
Lac Douar	id=g:6013985
Lac Douard	id=g:6013986
Lac Douay	id=g:6013987
Lac Douay	id=g:6013988
Lac Douayren	id=g:6013989
Lac Double	id=g:6013990
Lac Double	id=g:6013991
Lac Double	id=g:6013992
Lac Double	id=g:6013993
Lac Double	id=g:6013994
Lac Double	id=g:6013995
Lac Double	id=g:6013996
Lac Double	id=g:6013997
Lac Doublé	id=g:6013998
Lac Double Ligne	id=g:6013999
Lac Doublet	id=g:6014000
Lac Doucet	id=g:6014001
Lac Doucet	id=g:6014002
Lac Doucet	id=g:6014003
Lac Doucet	id=g:6014004
Lac Doucet	id=g:6014005
Lac Doucet	id=g:6014006
Lac Doucet	id=g:6014007
Lac Doucet	id=g:6014008
Lac Doucet	id=g:6014009
Lac-Doucet	id=g:6014010
Lac Doucinet	id=g:6014011
Lac Doudan	id=g:6014012
Lac Doug	id=g:6014013
Lac Doug	id=g:6014014
Lac Dougherty	id=g:6014015
Lac Dougherty	id=g:6014016
Lac Doughnut	id=g:6014017
Lac Douglas	id=g:6014018
Lac Douglas	id=g:6014019
Lac Douglas	id=g:6014020
Lac Douglas	id=g:6014021
Lac Douglas	id=g:6014022
Lac Douglas	id=g:6014023
Lac Douglas	id=g:6014024
Lac Douglass	id=g:6014025
Lac Douillet	id=g:6014026
Lac Douley	id=g:6014027
Lac Doull	id=g:6014028
Lac Doulon	id=g:6014029
Lac Doum	id=g:6014030
Lac Doumic	id=g:6014031
Lac Dour	id=g:6014032
Lac Doureau	id=g:6014033
Lac Douro	id=g:6014034
Lac Dourre	id=g:6014035
Lac Doussin	id=g:6014036
Lac Douteux	id=g:6014037
Lac Doutre	id=g:6014038
Lac Doutreleau	id=g:6014039
Lac Douve	id=g:6014040
Lac Douvelle	id=g:6014041
Lac Douvier	id=g:6014042
Lac Douville	id=g:6014043
Lac Doux	id=g:6014044
Lac Doux	id=g:6014045
Lac Douzain	id=g:6014046
Lac Dover	id=g:6014047
Lac Dow	id=g:6014048
Lac Dow	id=g:6014049
Lac Dow	id=g:6014050
Lac Dow	id=g:6014051
Lac Dowd	id=g:6014052
Lac Down	id=g:6014053
Lac Downey	id=g:6014054
Lac Doyer	id=g:6014055
Lac Doyer	id=g:6014056
Lac Doyle	id=g:6014057
Lac Doyle	id=g:6014058
Lac Doyle	id=g:6014059
Lac Doyle	id=g:6014060
Lac Doyon	id=g:6014061
Lac Doyon	id=g:6014062
